N° DE EXP.,TÍTULO DE EXHIBICIÓN,PAÍS(ES) DE PRODUCCIÓN,DIRECTOR,AÑO ,
A-00001,EL SUAVECITO,MEX,FERNANDO MÉNDEZ,1950,
A-00002,MI CANDIDATO,MEX,CHANO URUETA,1937,
A-00003,REFUGIADOS EN MADRID,MEX,ALEJANDRO GALINDO,1938,
A-00004 ,LOS DOS CARNALES,MEX,ENRIQUE GÓMEZ VADILLO,1981,
A-00005 ,NOSOTROS LOS PELADOS,MEX,SERGIO VÉJAR,1981,
A-00006,LOS FAYUQUEROS DE TEPITO,MEX,JOSÉ LUIS URQUIETA,1981,
A-00007,JACINTO EL TULLIDO,MEX,FERNANDO DURÁN ROJAS,1981,
A-00008,LA MUERTE DEL PALOMO,MEX,PEDRO GALINDO III,1981,
A-00009,EL HÉROE DESCONOCIDO,MEX,JULIÁN PASTOR,1981,
A-00010,BARRIO DE CAMPEONES,MEX,FERNANDO VALLEJO,1982,
A-00011,EL NIÑO DEL TAMBOR,MEX-ESP,JORGE GRAU,1981,
A-00012,LAS PIERNAS DEL MILLON,MEX,SERGIO VÉJAR,1981,
A-00013,LOS SOBREVIVIENTES ESCOGIDOS,MEX-EUA,SUTTON ROLLEY,1973,
A-00014,ÉSTA Y L'OTRA CON UN SOLO BOLETO,MEX,MARIO CID,1981,
A-00015,EL PUÑO DE LA MUERTE,MEX,ALFREDO B. CREVENNA,1981,
A-00016,LA FUGA DE CARRASCO,MEX,ALFREDO B. CREVENNA,1983,
A-00017,"CRI-CRI  ""EL GRILLITO CANTOR""",MEX,TITO DAVISON,1963,
A-00018,LA EDAD DE LA INOCENCIA,MEX,TITO DAVISON,1962,
A-00019,HOMBRES DE ACCION,MEX,RUBÉN GALINDO,1981,
A-00020,EL SARGENTO CAPULINA,MEX,ALFREDO ZACARÍAS,1981,
A-00021,NOSOTROS LOS PELADOS,MEX,PEDRO GALINDO III,1981,
A-00022,HOMBRES DE MAR,MEX,CHANO URUETA,1938,
A-00023,CINCO ROSTROS DE MUJER,MEX,GILBERTO MARTÍNEZ SOLARES,1946,
A-00024,LAS ABANDONADAS,MEX,EMILIO FERNÁNDEZ,1944,
A-00025,HISTORIA DE UN GRAN AMOR,MEX,JULIO BRACHO,1942,
A-00026,SANTA,MEX,ANTONIO MORENO,1931,
A-00027,RENUNCIA POR MOTIVOS DE SALUD,MEX,RAFAEL BALEDÓN,1975,
