Film,Director,urlmubi
Día seis,Juan Pablo Arroyo Abraham,https://mubi.com/es/films/the-6th-day
Aquí sigo,Lorenzo Hagerman,https://mubi.com/es/films/still-here
Los paisajes,Rodrigo Cervantes,https://mubi.com/es/films/landscapes-2022
William El nuevo maestro del judo,Ricardo Silva  Omar Guzmán,https://mubi.com/es/films/william-the-new-judo-master
Un caballo llamado Elefante,Andrés Waissbluth,
Bruma,Max Zunino,https://mubi.com/es/films/bruma
Llegando a casa Rayados de Monterrey,Fernando Kalife,
Conversaciones con Mono Blanco,Jaime Cruz,https://mubi.com/es/films/conversaciones-con-un-mono
Soneros son,Jorge Curioca,
Oso polar,Marcelo Tobar,https://mubi.com/es/films/polar-bear
Tipo de cambio,Sharon Alpuche,https://mubi.com/es/memberships
A pie,Silverio Palacios,https://mubi.com/es/films/pie
Casa caracol,Jean-Marc Rousseau Ruiz,https://mubi.com/es/films/casa-caracol
Túnel 19,Pitipol Ybarra,https://mubi.com/es/films/the-tunnel-2019
Yuanfen,Rafael Reséndiz Durán,
El vecino,Giancarlo Ruiz,https://mubi.com/es/films/el-vecino
Heroyna,Alejandro Solórzano Garibaldi,https://mubi.com/es/films/heroina
Julián,Izrael Moreno,https://mubi.com/es/films/julian
La jaula,Juan Pablo Blanco,https://mubi.com/es/films/la-jaula
Los que no saben volar,Hill Díaz,https://mubi.com/es/films/birds-or-how-to-be-one
Morir de amor,Jorge Araujo,https://mubi.com/es/films/to-die-of-love
Nocturno,Luis Ayhllón Flores,https://mubi.com/es/films/nocturne-2020
Nunca jures por la luna,Teo Martínez,
Ovnis en Zacapa,Marcos Machado Loría,
Palomar,Luis R. Garza,https://mubi.com/es/cast/rosa-palomar
Sinestesia,Rodrigo Ortega Ortuño,https://mubi.com/es/films/synesthesia
Yacuna El amor a la vida,Eustaquio del Río,
Zanjas,Francisco Joaquín Paparella,https://mubi.com/es/films/ditches
Plan Virgen,Roberto Fiesco,https://mubi.com/es/films/hail-mary
Alba,Ana Cristina Barragán,https://mubi.com/es/films/alba-2016
Baño de vida,Dalia R. Reyes,https://mubi.com/es/films/bano-de-vida
Mi sangre enarbolada,Luis Palomino Benítez,
El ocaso de las diosas,Carlos Mignon,https://mubi.com/es/films/el-ocaso-de-las-diosas
Lupe bajo el sol,Rodrigo Reyes,https://mubi.com/es/films/lupe-under-the-sun
Pacífico,Fernanda Romandía,https://mubi.com/es/films/pacifico
El Alien y yo,Jesús Magaña Vázquez,https://mubi.com/es/films/the-alien
La vida inmoral de la pareja ideal,Manolo Caro,https://mubi.com/es/films/the-immoral-life-of-the-perfect-couple
La leyenda del Chupacabras,Alberto Rodríguez,https://mubi.com/es/films/la-leyenda-del-chupacabras
Sin dios y sin diablo. Jaime Sabines y sus lectores,Claudio Isaac,
Un padre no tan padre (antes/previously El patriarca),Raúl Martínez,https://mubi.com/es/films/un-padre-no-tan-padre
Mientras el lobo no está,Joseph Hemsani,https://mubi.com/es/films/when-the-wolf-is-not-around
Helena (antes/previously Julieta),Alejandro Sugich,https://mubi.com/es/films/julieteta
Tus feromonas me matan,Juan Carlos de Llaca,
Mis demonios nunca juraron soledad,Jorge Leyva,
La pierde almas (antes/previously Moronga),John Dickie,
La voz de un sueño (antes/previously Gotas de Rocío),Analeine Cal y Mayor Martínez del Cerro,https://mubi.com/es/cast/rocio-lara
La negrada (Black People),Jorge Pérez Solano,https://mubi.com/es/films/black-mexicans
Hasta los dientes,Alberto Saúl Arnaut Estrada,https://mubi.com/es/films/armed-to-the-teeth
Día de Muertos,Danny Huston,https://mubi.com/es/films/day-of-the-dead
El guardián de la memoria,Marcela Arteaga Esquerra,https://mubi.com/es/films/the-guardian-of-memory
La promesa,Óscar Alberto Blancarte,https://mubi.com/es/films/la-promesse
El filósofo y los toros (antes/previously Un filósofo en la arena),Aarón Fernández  Jesús Muñoz,https://mubi.com/es/films/a-philosopher-in-the-arena
3 idiotas,Carlos Bolado,https://mubi.com/es/films/3-idiots
La gran promesa (antes/previously Caja oscura),Jorge Ramírez Suárez,https://mubi.com/es/films/the-camera-obscura
Camino a Marte,Humberto Hinojosa,https://mubi.com/es/films/road-to-mars
Los adioses (antes/previously Guerra),Natalia Beristáin,https://mubi.com/es/films/los-adioses
Amanda (antes/previously Cómo cortar a tu patán),Gabriela Tagliavini,
Cómo matar a un esposo difunto,Conrado Martínez,https://mubi.com/es/films/como-matar-a-un-esposo-muerto
El día del temblor (antes/previously 1985),Kuno Becker,https://mubi.com/es/films/nineteen-nineteen
¡Como va! Lo más sencillo es complicarlo todo,René Bueno,https://mubi.com/films/lo-mas-sencillo-es-complicarlo-todo
Todos aman a alguien,Catalina Aguilar Mastretta,https://mubi.com/es/films/talk-of-the-town
Restos de viento,Ximena Montemayor,
Las siete muertes (antes/previously Las muertes de Lucía B),Gerardo Herrero,https://mubi.com/es/films/lucia
Café: alma y resistencia,Alejandro Díaz San Vicente,https://mubi.com/es/films/on-body-and-soul
Torre,Juan Obregón,https://mubi.com/es/cast/raul-de-la-torre
Coatí,Rodrigo Pérez Castro,https://mubi.com/es/films/koati
Noches de julio,Axel Mishael Muñoz Barba,https://mubi.com/es/films/the-night-2021
Ciudad,Carlos Federico Rossini  Everardo González Reyes  Nicolás Echeverría Ortiz  Tatiana Ixquic Huezo Sánchez  Paul Leduc Rosenzweig,https://mubi.com/es/films/ciudad
Roma,Alfonso Cuarón,https://mubi.com/es/films/roma-2017
El vendedor de orquídeas,Lorenzo Vigas,https://mubi.com/es/films/the-orchid-seller
Tote (Abuelo),María Dolores Arias,
Mover un río,Alba Herrera Rivas,
Gone Missing. El último viaje de Juan Viejo,Till Cöster,https://mubi.com/es/films/gone-missing
Zama,Lucrecia Martel,https://mubi.com/es/films/zama
Guerrero,Ludovic Bonleux,https://mubi.com/films/guerrero-2016
Maricarmen,Sergio Adrián Morkin,https://mubi.com/es/films/maricarmen
Notas para no olvidar,Hatuey Joaquín Viveros,https://mubi.com/es/films/an-exercise-to-never-forget
Una corriente salvaje,Nuria Ibáñez Castañeda,https://mubi.com/es/films/a-wild-stream
Laberinto Yoéme,Sergi Pedro Ros,
La ley del monte,Mario Mandujano,
El refugio de los insomnes,José Giordano,https://mubi.com/es/films/el-club-de-los-insomnes
Takeda,Yaasib Álvaro Vázquez,https://mubi.com/es/cast/shinji-takeda
Rita,Arturo Díaz Santana,https://mubi.com/es/films/rita-2012
Mente revólver,Alejandro Ramírez Corona,https://mubi.com/es/films/revolver-mind
El baile y el salón,Iván Porras,https://mubi.com/es/films/the-ballroom
Un buen sabor de boca,Jaime Humberto Hermosillo,https://mubi.com/es/films/bitter-daisies
Opus Zero,Daniel Graham,https://mubi.com/es/films/opus-zero
La boda de Valentina,Marcopolo Constance,https://mubi.com/es/films/la-boda-de-valentina
La misma sangre,Ángel Linares,https://mubi.com/es/films/luciano-serra-pilot
Cría puercos,Ehécatl García Jiménez,https://mubi.com/es/films/esmeralda-s-twilight
A ti te quería encontrar,Javier Colinas,
Escuela para seductores,Giovanna Zacarías,
Rush Hour,Luciana Kaplan,https://mubi.com/es/films/rush-hour-1941
Cuando los hijos regresan,Hugo Lara,https://mubi.com/es/films/cuando-los-hijos-regresan
Moctezuma y yo,Issa López,https://mubi.com/es/cast/juan-lopez-moctezuma
Viviana Rocco. Yo trans,Daniel Reyes,
Dispositio,Nila Guiss,https://mubi.com/es
Los años azules,Sofía Gómez Córdova,https://mubi.com/es/films/the-blue-years
Silenciosa,Sofía Medrano,https://mubi.com/es/films/silent-light
Ayotzinapa 26,Fernando Eimbcke  Abraham Escobedo Salas  Dr. Alderete  Paula Markovitch  Aarón Fernández  Julien Devaux  François Olislaeger  Bruno Bichir  Hari Sama  Kenya Márquez  Alberto Reséndiz  Sebastián Hoffman  Jorge Bolado  Pablo Fulguería  Lucía Gajá  Ludovic Bonleux  Mariana Rodríguez  Christine Burkhard  Alex Noppel  Marcello Sahea  Ricardo del Conde  Viviana García.,https://mubi.com/es/films/ayotzinapa-26
Algo de todos,Isabel María,https://mubi.com/es/films/something-borrowed
Humboldt en México. La mirada del explorador,Ana Cruz Navarro,https://mubi.com/es/films/the-gaze-of-the-explorer-humboldt-in-mexico
Mientras se espera,Paola Villanueva,https://mubi.com/es/films/long-way-home
American Curious,Gabylú Lara,
Donde se quedan las cosas,Daniela Silva Solórzano,https://mubi.com/es/films/the-misfortunates
