Film,Director,urlmubi,Urlverification
Día seis,Juan Pablo Arroyo Abraham,https://mubi.com/es/films/the-6th-day,0
Aquí sigo,Lorenzo Hagerman,https://mubi.com/es/films/still-here,1
Los paisajes,Rodrigo Cervantes,https://mubi.com/es/films/landscapes-2022,1
William El nuevo maestro del judo,Ricardo Silva  Omar Guzmán,https://mubi.com/es/films/william-the-new-judo-master,1
Un caballo llamado Elefante,Andrés Waissbluth,,
Bruma,Max Zunino,https://mubi.com/es/films/bruma,1
Llegando a casa Rayados de Monterrey,Fernando Kalife,,
Conversaciones con Mono Blanco,Jaime Cruz,https://mubi.com/es/films/conversaciones-con-un-mono,1
Soneros son,Jorge Curioca,,
Oso polar,Marcelo Tobar,https://mubi.com/es/films/polar-bear,1
Tipo de cambio,Sharon Alpuche,https://mubi.com/es/memberships,0
A pie,Silverio Palacios,https://mubi.com/es/films/pie,1
Casa caracol,Jean-Marc Rousseau Ruiz,https://mubi.com/es/films/casa-caracol,1
Túnel 19,Pitipol Ybarra,https://mubi.com/es/films/the-tunnel-2019,0
Yuanfen,Rafael Reséndiz Durán,,
El vecino,Giancarlo Ruiz,https://mubi.com/es/films/el-vecino,1
Heroyna,Alejandro Solórzano Garibaldi,https://mubi.com/es/films/heroina,0
Julián,Izrael Moreno,https://mubi.com/es/films/julian,0
La jaula,Juan Pablo Blanco,https://mubi.com/es/films/la-jaula,0
Los que no saben volar,Hill Díaz,https://mubi.com/es/films/birds-or-how-to-be-one,1
Morir de amor,Jorge Araujo,https://mubi.com/es/films/to-die-of-love,0
Nocturno,Luis Ayhllón Flores,https://mubi.com/es/films/nocturne-2020,0
Nunca jures por la luna,Teo Martínez,,
Ovnis en Zacapa,Marcos Machado Loría,,
Palomar,Luis R. Garza,https://mubi.com/es/cast/rosa-palomar,0
Sinestesia,Rodrigo Ortega Ortuño,https://mubi.com/es/films/synesthesia,0
Yacuna El amor a la vida,Eustaquio del Río,,
Zanjas,Francisco Joaquín Paparella,https://mubi.com/es/films/ditches,1
Plan Virgen,Roberto Fiesco,https://mubi.com/es/films/hail-mary,0
Alba,Ana Cristina Barragán,https://mubi.com/es/films/alba-2016,1
Baño de vida,Dalia R. Reyes,https://mubi.com/es/films/bano-de-vida,1
Mi sangre enarbolada,Luis Palomino Benítez,,
El ocaso de las diosas,Carlos Mignon,https://mubi.com/es/films/el-ocaso-de-las-diosas,1
Lupe bajo el sol,Rodrigo Reyes,https://mubi.com/es/films/lupe-under-the-sun,1
Pacífico,Fernanda Romandía,https://mubi.com/es/films/pacifico,1
El Alien y yo,Jesús Magaña Vázquez,https://mubi.com/es/films/the-alien,1
La vida inmoral de la pareja ideal,Manolo Caro,https://mubi.com/es/films/the-immoral-life-of-the-perfect-couple,1
La leyenda del Chupacabras,Alberto Rodríguez,https://mubi.com/es/films/la-leyenda-del-chupacabras,1
Sin dios y sin diablo. Jaime Sabines y sus lectores,Claudio Isaac,,
Un padre no tan padre (antes/previously El patriarca),Raúl Martínez,https://mubi.com/es/films/un-padre-no-tan-padre,1
Mientras el lobo no está,Joseph Hemsani,https://mubi.com/es/films/when-the-wolf-is-not-around,0
Helena (antes/previously Julieta),Alejandro Sugich,https://mubi.com/es/films/julieteta,1
Tus feromonas me matan,Juan Carlos de Llaca,,
Mis demonios nunca juraron soledad,Jorge Leyva,,
La pierde almas (antes/previously Moronga),John Dickie,,
La voz de un sueño (antes/previously Gotas de Rocío),Analeine Cal y Mayor Martínez del Cerro,https://mubi.com/es/cast/rocio-lara,0
La negrada (Black People),Jorge Pérez Solano,https://mubi.com/es/films/black-mexicans,1
Hasta los dientes,Alberto Saúl Arnaut Estrada,https://mubi.com/es/films/armed-to-the-teeth,1
Día de Muertos,Danny Huston,https://mubi.com/es/films/day-of-the-dead,0
El guardián de la memoria,Marcela Arteaga Esquerra,https://mubi.com/es/films/the-guardian-of-memory,1
La promesa,Óscar Alberto Blancarte,https://mubi.com/es/films/la-promesse,0
El filósofo y los toros (antes/previously Un filósofo en la arena),Aarón Fernández  Jesús Muñoz,https://mubi.com/es/films/a-philosopher-in-the-arena,1
3 idiotas,Carlos Bolado,https://mubi.com/es/films/3-idiots,0
La gran promesa (antes/previously Caja oscura),Jorge Ramírez Suárez,https://mubi.com/es/films/the-camera-obscura,0
Camino a Marte,Humberto Hinojosa,https://mubi.com/es/films/road-to-mars,1
Los adioses (antes/previously Guerra),Natalia Beristáin,https://mubi.com/es/films/los-adioses,1
Amanda (antes/previously Cómo cortar a tu patán),Gabriela Tagliavini,,
Cómo matar a un esposo difunto,Conrado Martínez,https://mubi.com/es/films/como-matar-a-un-esposo-muerto,1
El día del temblor (antes/previously 1985),Kuno Becker,https://mubi.com/es/films/nineteen-nineteen,0
¡Como va! Lo más sencillo es complicarlo todo,René Bueno,https://mubi.com/films/lo-mas-sencillo-es-complicarlo-todo,1
Todos aman a alguien,Catalina Aguilar Mastretta,https://mubi.com/es/films/talk-of-the-town,0
Restos de viento,Ximena Montemayor,,
Las siete muertes (antes/previously Las muertes de Lucía B),Gerardo Herrero,https://mubi.com/es/films/lucia,0
Café: alma y resistencia,Alejandro Díaz San Vicente,https://mubi.com/es/films/on-body-and-soul,1
Torre,Juan Obregón,https://mubi.com/es/cast/raul-de-la-torre,0
Coatí,Rodrigo Pérez Castro,https://mubi.com/es/films/koati,1
Noches de julio,Axel Mishael Muñoz Barba,https://mubi.com/es/films/the-night-2021,1
Ciudad,Carlos Federico Rossini  Everardo González Reyes  Nicolás Echeverría Ortiz  Tatiana Ixquic Huezo Sánchez  Paul Leduc Rosenzweig,https://mubi.com/es/films/ciudad,
Roma,Alfonso Cuarón,https://mubi.com/es/films/roma-2017,1
El vendedor de orquídeas,Lorenzo Vigas,https://mubi.com/es/films/the-orchid-seller,1
Tote (Abuelo),María Dolores Arias,,
Mover un río,Alba Herrera Rivas,,
Gone Missing. El último viaje de Juan Viejo,Till Cöster,https://mubi.com/es/films/gone-missing,0
Zama,Lucrecia Martel,https://mubi.com/es/films/zama,1
Guerrero,Ludovic Bonleux,https://mubi.com/films/guerrero-2016,0
Maricarmen,Sergio Adrián Morkin,https://mubi.com/es/films/maricarmen,1
Notas para no olvidar,Hatuey Joaquín Viveros,https://mubi.com/es/films/an-exercise-to-never-forget,0
Una corriente salvaje,Nuria Ibáñez Castañeda,https://mubi.com/es/films/a-wild-stream,1
Laberinto Yoéme,Sergi Pedro Ros,,
La ley del monte,Mario Mandujano,,
El refugio de los insomnes,José Giordano,https://mubi.com/es/films/el-club-de-los-insomnes,1
Takeda,Yaasib Álvaro Vázquez,https://mubi.com/es/cast/shinji-takeda,0
Rita,Arturo Díaz Santana,https://mubi.com/es/films/rita-2012,0
Mente revólver,Alejandro Ramírez Corona,https://mubi.com/es/films/revolver-mind,1
El baile y el salón,Iván Porras,https://mubi.com/es/films/the-ballroom,0
Un buen sabor de boca,Jaime Humberto Hermosillo,https://mubi.com/es/films/bitter-daisies,0
Opus Zero,Daniel Graham,https://mubi.com/es/films/opus-zero,1
La boda de Valentina,Marcopolo Constance,https://mubi.com/es/films/la-boda-de-valentina,1
La misma sangre,Ángel Linares,https://mubi.com/es/films/luciano-serra-pilot,0
Cría puercos,Ehécatl García Jiménez,https://mubi.com/es/films/esmeralda-s-twilight,1
A ti te quería encontrar,Javier Colinas,,
Escuela para seductores,Giovanna Zacarías,,
Rush Hour,Luciana Kaplan,https://mubi.com/es/films/rush-hour-1941,0
Cuando los hijos regresan,Hugo Lara,https://mubi.com/es/films/cuando-los-hijos-regresan,1
Moctezuma y yo,Issa López,https://mubi.com/es/cast/juan-lopez-moctezuma,0
Viviana Rocco. Yo trans,Daniel Reyes,,
Dispositio,Nila Guiss,https://mubi.com/es,0
Los años azules,Sofía Gómez Córdova,https://mubi.com/es/films/the-blue-years,1
Silenciosa,Sofía Medrano,https://mubi.com/es/films/silent-light,1
Ayotzinapa 26,Fernando Eimbcke  Abraham Escobedo Salas  Dr. Alderete  Paula Markovitch  Aarón Fernández  Julien Devaux  François Olislaeger  Bruno Bichir  Hari Sama  Kenya Márquez  Alberto Reséndiz  Sebastián Hoffman  Jorge Bolado  Pablo Fulguería  Lucía Gajá  Ludovic Bonleux  Mariana Rodríguez  Christine Burkhard  Alex Noppel  Marcello Sahea  Ricardo del Conde  Viviana García.,https://mubi.com/es/films/ayotzinapa-26,1
Algo de todos,Isabel María,https://mubi.com/es/films/something-borrowed,0
Humboldt en México. La mirada del explorador,Ana Cruz Navarro,https://mubi.com/es/films/the-gaze-of-the-explorer-humboldt-in-mexico,1
Mientras se espera,Paola Villanueva,https://mubi.com/es/films/long-way-home,1
American Curious,Gabylú Lara,,
Donde se quedan las cosas,Daniela Silva Solórzano,https://mubi.com/es/films/the-misfortunates,0
A toca do lobo,Catarina Mourão,https://mubi.com/es/films/the-wolf-s-lair,1
Entre pasos y sonidos,Elizabeth Piña Hernández,https://mubi.com/es/films/birds-or-how-to-be-one,1
Los quijotes de la marcha,Florencia Davidzon,https://mubi.com/es/films/don-quixote-de-la-mancha,0
