Film,Director,tmdbrating,overview,genre
Día seis,Juan Pablo Arroyo Abraham,6.788,"A geologist races against time to save his estranged wife and two children when a devastating earthquake strikes Oslo, Norway.",Action
Aquí sigo,Lorenzo Hagerman,7.0,"Brings together the existential ponderings of the people around us who most deserve to be listened to, those who have lived the longest. We travel the world hearing memories of love and loss, of joy and hardship.",Documentary
Los paisajes,Rodrigo Cervantes,0.0,"Valentyna and her bed-ridden mother live on a small farm surrounded by the evergreen, lush flora of the rain forest. The works and thoughts of the poet and the artist, though, are filled with the landscapes of their old home, Ukraine. Memories of snow and birch trees, thistles and orchids, vegetable gardens and their animal residents come to life in Tamara’s poems and Valentyna’s drawings.",Documentary
William El nuevo maestro del judo,Ricardo Silva  Omar Guzmán,5.3,Portrays the universe of an eternal being that exists within a lifecycle filled with disappointments and hopelessness. It's the chronicle about the search for love and the fight against oblivion.,
Un caballo llamado Elefante,Andrés Waissbluth,4.2,Two brothers sneak into a circus in order to free their grandfather's horse and fulfill his last wish.,Family
Bruma,Max Zunino,5.3,"Martina gets pregnant from her selfish boyfriend. Without knowing exactly what to do, she travels to Berlin to find her own father, the one she never met.",Drama
Llegando a casa Rayados de Monterrey,Fernando Kalife,,,
Conversaciones con Mono Blanco,Jaime Cruz,0.0,Documentary film about Gilberto Gutierrez and his band: Mono Blanco.,
Soneros son,Jorge Curioca,7.2,Gilberto Santa Rosa and Victor Manuelle in concert.,Music
Oso polar,Marcelo Tobar,6.7,"Heriberto gives a lift to a school reunion to two friends (Flor and Trujillo). In the way, we find out that they were his worst bullies.",Drama
Tipo de cambio,Sharon Alpuche,,,
A pie,Silverio Palacios,7.055,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.",Drama
Casa caracol,Jean-Marc Rousseau Ruiz,4.6,"Sofia leaves the city to a provincial town. There she meets Nico and the inhabitants of Casa Caracol, an alternative hostel in the middle of the jungle. Nodding party nights and brotherhood, Sofia falls in love with Nico and joins the ""magical"" village life.",Adventure
Túnel 19,Pitipol Ybarra,6.088,A group of armed robbers fleeing the police head for the New Jersey Tunnel and run right into trucks transporting toxic waste. The spectacular explosion that follows results in both ends of the tunnel collapsing and the handful of people who survived the explosion are now in peril. Kit Latura is the only man with the skill and knowledge to lead the band of survivors out of the tunnel before the structure collapses.,Action
Yuanfen,Rafael Reséndiz Durán,0.0,The story of a young orphan who is lead on a journey through China to be united with her parents to-be.,Animation
El vecino,Giancarlo Ruiz,0.0,"A young woman new to the neighborhood has a bit of a problem: her loud, womanizing male neighbor from down the street seems to appear everywhere she goes and she can't stand him. But when circumstances force her to actually interact with him, he turns out to be not what he seems. Or is he?",Comedy
Heroyna,Alejandro Solórzano Garibaldi,5.0,"King and Queen are robbers, addicts and -above all- lovers. Together they form the center of the universe.",
Julián,Izrael Moreno,0.0,"Julian, an 18 years old young man, discovers for the firts time what love is. He is betrayed, learns to betray, to abandon and to love. We see his love life though three chapters: from the innocence of love to the abandonment of his daughter.",
La jaula,Juan Pablo Blanco,5.6,Aliens wipe out the earth population except for 3 people. How will the adapt and survive?,Action
Los que no saben volar,Hill Díaz,5.0,"After his third intent of commit suicide, Emiliano begins the preparations for his next and definitive intent of killing himself, with the help of a 40-year old nurse named Bertha, and a very strange book called ""The Suicide Manual"".",
Morir de amor,Jorge Araujo,5.0,"In Los Angeles, Beatriz, a young working woman, lives a self-destructive relationship with a heroin addict who is willing to pay any price to cover his need to get high. For his part, in the city of Guadalajara, Alejandro Maldonado, maintains a codependent relationship in a marriage that has exceeded the limit of what is tolerable with his wife Olga; an unsatisfied woman, who eagerly looks for men to satisfy her addiction to sex. When the lives of these characters intersect, an exit to their conflicts is visualized in the search for specialized help.",Drama
Nocturno,Luis Ayhllón Flores,6.2,"Ana, a mysterious nurse, is hired to take care of Oli, an old sick man in his last days. The relationship becomes uncomfortable when she reveals a past that they had apparently shared. “Nocturne” is the intimate encounter between two lonely people seeking to settle accounts with the past. It’s a dark nightmare between the two.",Thriller
Nunca jures por la luna,Teo Martínez,6.7,,
