Film,Director,imdburl
Día seis,Juan Pablo Arroyo Abraham,https://www.imdb.com/title/tt4810318/
Aquí sigo,Lorenzo Hagerman,https://www.imdb.com/title/tt5639696/
Los paisajes,Rodrigo Cervantes,https://www.imdb.com/title/tt6118432/
William El nuevo maestro del judo,Ricardo Silva  Omar Guzmán,https://www.imdb.com/title/tt6497968/
Un caballo llamado Elefante,Andrés Waissbluth,https://www.imdb.com/title/tt3685570/
Bruma,Max Zunino,https://www.imdb.com/title/tt5348766/
Llegando a casa Rayados de Monterrey,Fernando Kalife,https://www.imdb.com/title/tt5518174/
Conversaciones con Mono Blanco,Jaime Cruz,https://www.imdb.com/name/nm3319309/
Soneros son,Jorge Curioca,https://www.imdb.com/title/tt5517974/
Oso polar,Marcelo Tobar,https://www.imdb.com/title/tt5049580/
Tipo de cambio,Sharon Alpuche,https://www.imdb.com/title/tt4705018/
A pie,Silverio Palacios,https://www.imdb.com/title/tt0138704/
Casa caracol,Jean-Marc Rousseau Ruiz,https://www.imdb.com/title/tt5017324/
Túnel 19,Pitipol Ybarra,https://www.imdb.com/title/tt9049042/
Yuanfen,Rafael Reséndiz Durán,https://www.imdb.com/title/tt10131362/
El vecino,Giancarlo Ruiz,https://www.imdb.com/title/tt9731222/
Heroyna,Alejandro Solórzano Garibaldi,https://www.imdb.com/title/tt0436385/
Julián,Izrael Moreno,https://www.imdb.com/name/nm0432179/
La jaula,Juan Pablo Blanco,https://www.imdb.com/title/tt4388128/
Los que no saben volar,Hill Díaz,https://www.imdb.com/title/tt3262096/
Morir de amor,Jorge Araujo,https://www.imdb.com/title/tt4111828/
Nocturno,Luis Ayhllón Flores,https://www.imdb.com/title/tt11044858/
Nunca jures por la luna,Teo Martínez,https://www.imdb.com/title/tt5324962/
Ovnis en Zacapa,Marcos Machado Loría,https://www.imdb.com/title/tt4467714/
Palomar,Luis R. Garza,https://www.imdb.com/title/tt6764776/
Sinestesia,Rodrigo Ortega Ortuño,https://www.imdb.com/title/tt1578135/
Yacuna El amor a la vida,Eustaquio del Río,https://www.imdb.com/title/tt5828754/
Zanjas,Francisco Joaquín Paparella,https://m.imdb.com/title/tt3715392/?language=es-mx
Plan Virgen,Roberto Fiesco,https://www.imdb.com/title/tt7217826/
