Film,Director,mubi_rating
Día seis,Juan Pablo Arroyo Abraham,
Aquí sigo,Lorenzo Hagerman,['6.8']
Los paisajes,Rodrigo Cervantes,[]
William El nuevo maestro del judo,Ricardo Silva  Omar Guzmán,['5.7']
Un caballo llamado Elefante,Andrés Waissbluth,
Bruma,Max Zunino,[]
Llegando a casa Rayados de Monterrey,Fernando Kalife,
Conversaciones con Mono Blanco,Jaime Cruz,[]
Soneros son,Jorge Curioca,
Oso polar,Marcelo Tobar,['5.8']
Tipo de cambio,Sharon Alpuche,
A pie,Silverio Palacios,[]
Casa caracol,Jean-Marc Rousseau Ruiz,[]
Túnel 19,Pitipol Ybarra,
Yuanfen,Rafael Reséndiz Durán,
El vecino,Giancarlo Ruiz,[]
Heroyna,Alejandro Solórzano Garibaldi,
Julián,Izrael Moreno,
La jaula,Juan Pablo Blanco,
Los que no saben volar,Hill Díaz,['7.4']
Morir de amor,Jorge Araujo,
Nocturno,Luis Ayhllón Flores,
Nunca jures por la luna,Teo Martínez,
Ovnis en Zacapa,Marcos Machado Loría,
Palomar,Luis R. Garza,
Sinestesia,Rodrigo Ortega Ortuño,
Yacuna El amor a la vida,Eustaquio del Río,
Zanjas,Francisco Joaquín Paparella,[]
Plan Virgen,Roberto Fiesco,
Alba,Ana Cristina Barragán,['8.1']
Baño de vida,Dalia R. Reyes,['7.2']
Mi sangre enarbolada,Luis Palomino Benítez,
El ocaso de las diosas,Carlos Mignon,[]
Lupe bajo el sol,Rodrigo Reyes,['6.3']
Pacífico,Fernanda Romandía,[]
El Alien y yo,Jesús Magaña Vázquez,[]
La vida inmoral de la pareja ideal,Manolo Caro,['6.1']
La leyenda del Chupacabras,Alberto Rodríguez,[]
Sin dios y sin diablo. Jaime Sabines y sus lectores,Claudio Isaac,
Un padre no tan padre (antes/previously El patriarca),Raúl Martínez,['4.8']
Mientras el lobo no está,Joseph Hemsani,
Helena (antes/previously Julieta),Alejandro Sugich,[]
Tus feromonas me matan,Juan Carlos de Llaca,
Mis demonios nunca juraron soledad,Jorge Leyva,
La pierde almas (antes/previously Moronga),John Dickie,
La voz de un sueño (antes/previously Gotas de Rocío),Analeine Cal y Mayor Martínez del Cerro,
La negrada (Black People),Jorge Pérez Solano,[]
Hasta los dientes,Alberto Saúl Arnaut Estrada,['7.8']
Día de Muertos,Danny Huston,
El guardián de la memoria,Marcela Arteaga Esquerra,['8.0']
La promesa,Óscar Alberto Blancarte,
El filósofo y los toros (antes/previously Un filósofo en la arena),Aarón Fernández  Jesús Muñoz,[]
3 idiotas,Carlos Bolado,
La gran promesa (antes/previously Caja oscura),Jorge Ramírez Suárez,
Camino a Marte,Humberto Hinojosa,['4.9']
Los adioses (antes/previously Guerra),Natalia Beristáin,['8.4']
Amanda (antes/previously Cómo cortar a tu patán),Gabriela Tagliavini,
Cómo matar a un esposo difunto,Conrado Martínez,[]
El día del temblor (antes/previously 1985),Kuno Becker,
¡Como va! Lo más sencillo es complicarlo todo,René Bueno,['2.4']
Todos aman a alguien,Catalina Aguilar Mastretta,
Restos de viento,Ximena Montemayor,
Las siete muertes (antes/previously Las muertes de Lucía B),Gerardo Herrero,
Café: alma y resistencia,Alejandro Díaz San Vicente,['8.4']
Torre,Juan Obregón,
Coatí,Rodrigo Pérez Castro,[]
Noches de julio,Axel Mishael Muñoz Barba,['6.3']
Ciudad,Carlos Federico Rossini  Everardo González Reyes  Nicolás Echeverría Ortiz  Tatiana Ixquic Huezo Sánchez  Paul Leduc Rosenzweig,[]
Roma,Alfonso Cuarón,['8.1']
El vendedor de orquídeas,Lorenzo Vigas,['6.7']
Tote (Abuelo),María Dolores Arias,
Mover un río,Alba Herrera Rivas,
Gone Missing. El último viaje de Juan Viejo,Till Cöster,
Zama,Lucrecia Martel,['7.6']
Guerrero,Ludovic Bonleux,
Maricarmen,Sergio Adrián Morkin,[]
Notas para no olvidar,Hatuey Joaquín Viveros,
Una corriente salvaje,Nuria Ibáñez Castañeda,['7.7']
Laberinto Yoéme,Sergi Pedro Ros,
La ley del monte,Mario Mandujano,
El refugio de los insomnes,José Giordano,['5.5']
Takeda,Yaasib Álvaro Vázquez,
Rita,Arturo Díaz Santana,
Mente revólver,Alejandro Ramírez Corona,[]
El baile y el salón,Iván Porras,
